price,property description,number of bedrooms,number of bathrooms,Location,estate agency
"N115,000,000",Nice 2 Bedroom Apartment,2,2,"Banana Island Road, Banana Island, Ikoyi",CWRE Lagos
"N220,000,000",Luxuriously Finished Brand New 4 Bedroom Apartment,4,4,"Off Alexandra Street, Ikoyi",Andysean Global Concept Limited
"N150,000,000",Spacious 3 Bedroom Apartment With Bq,3,3,"Banana Island, Ikoyi",Leadhomes luxury and apartments
"N190,000,000",Luxury 3 Bedroom Apartment For Sale,3,3,Ikoyi,Cresco Homes and Properties
"N130,000,000",Newly Built 3 Bedroom Apartment In Ikoyi,3,3,"Old, Ikoyi",Island Luxury
"N420,000,000",Luxury 3 Bedroom Apartment with Excellent Amenities,3,4,"Bella Vista Towers, Banana Island, Ikoyi",Joossa Realtors
"N55,000,000","Spacious and well ventilated apartments, terraces and semi-detached duplexes",4,4,"Abraham Adesanya, Ajah",Verified properties Limited
"N25,000,000",Tastefully Finished 2 Bedroom Apartment,2,2,"Chevron, Chevron Drive, Lekki",Wellpro Development and Real Estate
"N180,000,000",Brand New 4 Bedroom Flat,4,4,"Old Ikoyi , Ikoyi",Island Luxury
"N35,000,000",Luxury 2 Bedroom Apartment,2,3,"Ikate Elegushi, Lekki",CW Real Estate
"N68,000,000",2 & 3 Bedroom Luxury Water front Condos,2,2,"Lekki Phase 1, Lekki",CW Real Estate
"N28,000,000",Serviced One Bedroom Apartment with Good Amenities,1,2,"Off Circle Mall Road, Osapa, Osapa, Lekki",Joossa Realtors
"N95,000,000",Luxurious 3 Bedroom Flat,3,3,"Maryland, Ikeja",Yebellz Enterprise
"N900,000,000",4 Bedroom Penthouse With Bq,4,5,"Bourdillon, Ikoyi",Wellpro Development and Real Estate
"N17,200,000,000",Newly Built Highrise Aprtments For Sale,3,3,"Old, Ikoyi",Island Luxury
"N250,000,000",Luxurious 4 Bedroom Apartment For Sale,4,4,"Old, Ikoyi",Island Luxury
