price,property description,number of bedrooms,number of bathrooms,Location,estate agency
"N130,000,000",Block Of 3 Bedroom Flats For Sale In Ikeja,3,3,"Off Allen Avenue, Ikeja , Ikeja",Femi Akinlusi and Co
"N80,000,000",Newly Built 12 Units 5 Bedroom Block Of Flat,5,5,"G.R.A Ikeja, Ikeja G.R.A, Ikeja",Cedars Properties
"N75,000,000",3 Bedroom Flat For Sale,3,3,"1004 Estate,, Victoria Island",Island Luxury
"N12,500,000",Affordable Flat on the island for sale with Payment Plan,2,2,"Goldstone Estate, Sangotedo, Ajah",Mimshach Properties
"N350,000,000",3 Bedroom Penthouse,3,3,"Banana Island, Ikoyi",Henshodeg Properties
"N35,000,000",Lovely 3 Bedroom Apartment,3,3,"Lekki County Estate, Ikota, Lekki",Henshodeg Properties
"N350,000,000",Kaydars Gates Luxury Maisonette and Office Apartment,4,5,"Musa Yaradua Street, Victoria Island",Stephens Aims Real Estate Ltd
"N200,000,000",Furnished 3 Bedroom Apartment With Bq,3,4,Victoria Island,
"N110,000,000",6 units of 3 bedrooms block of flats,3,3,"Ogba, Off College Road., Ogba, Ikeja",Famousmint Limited
"N50,000,000",One Bedroom Luxury Apartment,1,2,"Ahmadu Bello Way, Victoria Island",DELUXE RESIDENCES
"N150,000,000",Brand New Water View High Quality 3 Bedroom Apartments,3,3,"Old, Ikoyi",Island Luxury
"N130,000,000",Furnished 3 Bedroom Flat With Bq,3,4,"Macpherson Road, Ikoyi",Success Property & Co
"N25,000,000",Exqusite 2 Bedroom Flat For Sale,2,2,"Sola Olagunji Street, Off New Road,, Lekki Phase 2, Lekki",Ubosi Eleh And Co
"N25,500,000",3 Bedroom Apartment For Sale,3,4,"Abraham Adesanya, Ajah",Henshodeg Properties
"N32,000,000","20YEARS Payment Plan, 4 bedroom Semidetached Duplex",2,3,"Ikate, Lekki Expressway, Lekki",Mcdedict Homes Limited
"N120,000,000",Luxurious 3 Bedroom Apartment For Sale,3,3,"Parkview,, Parkview Estate, Ikoyi",Island Luxury
"N250,000,000",Luxury High Rise 3 Bedroom Flats,3,3,"Bordillon Road, Ikoyi",Wellpro Development and Real Estate
"N250,000,000",Upscale 4 Bedroom Apartment,4,4,"Glover, Ikoyi",CWRE Lagos
"N30,000,000",2 Bedroom Apartment With BQ,2,2,"Ikate, Ikate Elegushi, Lekki",Edgeline Properties
"N300,000,000","Top Luxury 3 Bedroom Apartment, Bourdillon",5,5,"Bourdillon, Falomo , Ikoyi",DELUXE RESIDENCES
"N135,000,000","Well Built and Fully Furnished 3br Services Flat. Queens Drive, Ikoyi.",3,4,"Off Queens, Ikoyi",Stephens Aims Real Estate Ltd
"N300,000,000",Classic 4 Units Of 3 Bedroom Flat And 2 Units Pent Flat,15,15,"Off African Lane, Lekki Phase 1, Lekki",Wellpro Development and Real Estate
"N1,400,000,000",Block Of Flat Foe Bana Island,4,4,"Residential Zone,, Banana Island, Ikoyi",Island Luxury
"N40,000,000",3 Bedroom Flat Apartment For Sale,3,3,"Johnson's Court Mende, Maryland, Ikeja",
"N220,000,000",Luxury 3 Bedroom Flat,3,3,Ikoyi,Wellpro Development and Real Estate
"N25,500,000",Spacious 2 Bedroom Apartment,2,2,"Ikota, Lekki",CW Real Estate
"N39,000,000",Magnificently Built 3 and 2 Bedroom Flat with Bq,3,3,"Ikate, Ikate Elegushi, Lekki",Spoton Realty and Construction
"N45,000,000",Luxuriously Finished 3 Bedroom Flat,3,3,"Ikate, Ikate Elegushi, Lekki",Spoton Realty and Construction
"N33,000,000",Luxurious 3 Bedroom Apartment In Surulere,3,3,"Troy Court,, Aguda , Surulere",JOA Homes
"N7,800,000,000",Luxurious Block Of Flat For Sale,4,4,"Block N, Ocean Parade Towers,, Banana Island, Ikoyi",Island Luxury
"N35,000,000",Newly Built Serviced 3 Bedroom Flat,3,3,"In A Secured Compound, Osapa, Lekki",Spoton Realty and Construction
"N400,000,000",Ultra Luxury Ikoyi Apartment,3,4,"Banana Island, Ikoyi",
"N21,000,000",2 bedroom newly built lagoshoms flats,2,1,"Amuwo Odofin, Festac",Individual Listing
"N80,000,000",6 Nos 3 Bedroom Flat,3,3,"Gra Ikeja, Ikeja G.R.A, Ikeja",Femi Akinlusi and Co
"N90,000,000",Classic Block Of 6 Numbers Of 3 Bedroom Flats,3,3,"Off Awolowo Way, Ikeja , Ikeja",Femi Akinlusi and Co
"N130,000,000",Classic 4 Numbers Of 3 Bedroom Flats,3,3,"Off Adeniyi Jones Avenue, Ikeja , Ikeja",Femi Akinlusi and Co
"N35,000,000",3 Bed Apartment,3,3,"Onike, Yaba",Underwood Homes
"N52,000,000",2 UNITS OF 2bedroom flat with swimming pool and gym,2,2,"Ladoke Akintola, Ikeja , Ikeja",
"N37,000,000",3 bedroom luxury flat,3,2,"Ajose Mende, Maryland, Ikeja",
"N65,000,000",Lovely 4 Nos Of Bedroom Flats,4,4,"Off Diya/Mosalashi Street, Gbagada",Wellpro Development and Real Estate
"N40,000,000",Executive Three Bedroom Flats,3,3,"Ajao Estate, Oshodi",
"N200,000,000",4 Bedroom Penthouse,4,4,"Lekki Phase 1, Lekki",Yebellz Enterprise
"N840,000,000",Nice Upscale 3 Bed Apartment,3,3,Victoria Island,CWRE Lagos
"N120,000,000",Luxurious 2 Bedroom Flat For Sale In Old Ikoyi,2,2,"Old Ikoyi, Ikoyi",Dolphin Shelters
"N32,000,000",Pay Small Small and live close to your office in 2Bedroom Apartment In Ikate Lekki Phase1,2,3,"Meadow Hall Way By Richmond Estate, Ikate Elegushi, Lekki",Mcdedict Homes Limited
"N13,000,000","Apartments For Sell At Gracias Goldstone Sangotedo, Ajah",1,1,"Grasias Goldstone, Behind Novaral Mall (Shoprite), Sangotedo, Ajah",The Overflow Properties
"N13,950,000",3 Bedroom Flat In Awoyaya,3,3,"Wealthland Estate, Oribanwa, Awoyaya, Ajah",Invalays Investment Nig Ltd
"N58,000,000",Family Apartment,3,3,"Kusenla Road, Chisco, Ikate Elegushi, Lekki",Osekemi Properties Nig Lt
"N69,000,000",Blue Water View 2 Bedroom Apartments,2,2,"Lekki Phase1, Lekki Phase 1, Lekki",Dlizz Properties
"N320,000,000",Fully Furnished 3 Bedroom Flat For Sale In Eko Atlantic,3,3,"Eko Atlantic, Victoria Island",Dolphin Shelters
"N35,000,000",Newly Built 3 Bedroom Flat For Sale,3,3,"Sola Olagunji Street, Off New Road,, Lekki Phase 2, Lekki",Ubosi Eleh And Co
"N40,000,000",Luxury One Bedroom Apartment Along Water Corporation Drive Oniru Vi,1,1,"Water Corporation Drive, Oniru, Victoria Island",Deluxe Residences Ltd
"N35,000,000",4 Block of 3 bedroom flat,3,2,"Idioami Street, Egbeda, Agege",Batundetech Properties Limited
"N150,000,000",Executive Serviced Three Bedroom Flat,3,4,"Onikoyi, Ikoyi",Ubosi Eleh And Co
"N500,000,000",Luxury Five (5) Bedroom Apartment with Lekki - Ikoyi link bridge view,5,6,"Off Turnbull Road, Ikoyi",Space & Sphere
"N20,000,000",Lovely 2 Bedroom Flat,2,2,"Alagomeji Yaba, Yaba",
"N50,000,000",4 Nos 3 Bedroom Flat With A Mini- Flat Bq,3,3,"Akowonjo, Agege",Nobel & Company
"N30,000,000",Block Of 6(No.) 2/3 Bedroom Flat,2,3,"Isheri Oshun, By Jakande Estate,, Ikotun, Isolo",Gbenga Adenuga & Associates
"N48,000,000",Cromwell Court Estate,3,3,"Cromwell Court Estate, Chevron Alternative Route, Chevron Drive, Lekki",Osekemi Properties Nig Lt
"N220,000,000",Fully Furnished 3 Bedroom Apartment For Sale In Banana Island,3,3,"Banana Island, Ikoyi",Dolphin Shelters
"N30,000,000",4-Bedroom Bundalow,4,4,"Egan, Igando, Isolo",Rotimi Olukoga And Associates
"N100,000,000",Well Maintained 4 Units Of 3 Bedroom Flats,3,3,"Allen Junction, Allen Avenue, Ikeja",Nobel & Company
"N45,000,000","Luxury 2 Bedroom Flat In Ikate, Lekki",2,3,"Ikate, Ikate Elegushi, Lekki",Maxville Investment Inc
"N25,000,000",Newly Built 2 Bedroom Apartments,2,2,"Orchid Road, Chevron Drive, Lekki",JOA Homes
"N45,000,000",Stunning 3 Blocks 18 Units 4 Bedroom Apartment,4,4,"Maryland, Ikeja",
"N60,000,000",Partly Furnished 2 Bedroom Flat For Sale,2,2,"Quantum Terraces, Oniru, Victoria Island",Olawale Jordan Company
"N90,000,000","Luxury 3 Bedroom Apartment With a Maid's Room Adjacent Eko Hotel & Suites, Victoria Island, Lagos",3,3,"Adjacent Eko Hotel & Suite At Olosa Street, Adetokunbo Ademola, Victoria Island",Deluxe Residences Ltd
"N25,000,000","Block Of 4 Units Of 3 Bedroom Flat In Awesu Estate, Igbogbo Ikorodu",3,2,"Awesu Estate, Igbogbo, Mile 12, Ikorodu Road",FA And Associates
"N75,000,000",Luxurious 1 and 2 bedroom apartment,1,1,"Off Glover, Ikoyi",Beverly & Sam Properties
"N300,000,000",Luxury 5 Bedroom House in Ikoyi,5,6,"Banana Island, Ikoyi",Maxville Investment Inc
"N70,000,000",Exqusite 3 Bedroom Flat For Sale,3,3,"1004 Estate, Victoria Island",Island Luxury
"N70,000,000",Luxurious 1 and 2 Bedroom Flats,1,1,"Abia, Banana Island, Ikoyi",Beverly & Sam Properties
"N22,000,000",Everly Units Of 2 And 4 Bedroom Apartments,2,2,"0 Mins Drive From Vgc & 7 Mins Drive From Ajah Junction, Ajah",Teewhy Properties
"N100,000,000",2 Bedroom Apartment,2,2,"Ozumba Mbadiwe, Victoria Island",
"N19,000,000",Three (3) Bedroom Apartment,3,4,"Sangotedo, Ibeju Lekki, Ajah",Space & Sphere
"N160,000,000",Well-Maintained 3 Bedroom Apartment And 4 Bedroom Maisonette,3,3,"Mojisola Onikoyi Foreshore, Banana Island, Ikoyi",Beverly & Sam Properties
"N70,000,000",Luxury 3 Bedroom Apartments In Victoria Island,4,3,"Water Coperation Drive, Victoria Island",DELUXE RESIDENCES
"N75,000,000","Luxury 2 Bedroom Apartment Along Banana Island Rd, Ikoyi",2,2,"Banana Island Road, Banana Island, Ikoyi",Deluxe Residences Ltd
"N60,000,000","Luxury 3 Bedroom Flat with Maid's Room, AC and Fitted Kitchen",3,4,"Along Water Corporation Drive Off Ligali Ayorinde Street, Oniru, Victoria Island",Deluxe Residences Ltd
"N75,000,000",Exquisite 2 Bedroom Apartments At The Amlads Place Along Banana Island Ikoyi,2,2,"Banana Island Road, Banana Island, Ikoyi",Deluxe Residences Ltd
"N75,000,000","Luxury 2 Bedroom Apartment Along Banana Island Road, Ikoyi",2,2,"Banana Island Road, Banana Island, Ikoyi",Deluxe Residences Ltd
"N50,000,000",Luxury One Bedroom Apartments Along Banana Island Ikoyi,1,1,"Banana Island Road, Banana Island, Ikoyi",Deluxe Residences Ltd
"N25,000,000",Lovely 4 Units Of 3 Bedroom Block Of Flat,3,2,"Orile , Badagry Express",
,3 Bedroom Flat,3,4,"1St Avenue, Banana Island, Ikoyi",
"N32,000,000",Brand New 2 Bedroom Flat With Open Plan Kitchen,2,2,"Chevron Area, Lekki Expressway, Lekki",
"N40,000,000",lovely 2 and 3 bedrooms apartments for sale,2,3,"Osapa London, Osapa, Lekki",
"N55,000,000","Luxury 1,2&3 bedroom apartment for sale",3,3,"Off Kusenla Road, Ikate Elegushi, Lekki",
"N80,000,000",luxury 3 bedroom smart flat for sale in a prime location in lekki,3,3,"Close To Lekki Main Entrance, Lekki Phase 1, Lekki",
"N275,000,000",block of flats on a very large expanse of land in lekki phase 1 for sale,4,4,"Lekki Phase 1, Ikate Elegushi, Lekki",
"N35,000,000",Brand New 3 Bedroom Flat With BQ,3,3,"A Serene And Gated Estate In Agungi , Agungi, Lekki",
"N280,000,000",Super Luxury 4 Bedroom Apartment With Bq,4,4,"V.I., Victoria Island",
"N140,000,000",3 bedroom luxury apartment,3,3,"Mojisola Onikoyi Estate, Banana Island, Ikoyi",
"N70,000,000",2 bedroom luxury apartments,3,2,"Admiralty , Lekki Phase 1, Lekki",
,Super Luxury 4 Bedroom Apartment,4,4,"Banana Island Road, Banana Island, Ikoyi",
,18 Nos Of 3 Bedroom Apartment & 3 Nos Of 4 Bedroom Penthouse,3,3,"Banana Island, Ikoyi",
"N210,000,000",Luxury 3 Bedroom Falt,3,3,Victoria Island,
,Luxury 4 Bedroom Apartment,4,4,"Bourdillon Road, Ikoyi",
"N2,600,000,000",Newly Built 24 Units Of 3 & 4 Bedroom Flats,4,4,"Ademola. Street Off Awolowo Road , Ikoyi",
"N75,000,000","Lovely 3 Bedroom Apartment With A Room Bq , Swimming Pool And Elevator",3,3,"Lekki Phase 1, Lekki",
"N250,000,000",Nice & Spacioius 3 Bedroom Apartment,3,3,"Banana Island, Ikoyi",
"N85,000,000",Luxury 3-bedroom apartment,3,3,"Off Ajose Adeogun , Victoria Island",
"N95,000,000 
N190,000 /m2",5 bedroom LUXURY finished semi detached duplex,5,6,"Osapa London , Osapa, Lekki",
"N180,000,000",BLOCK OF 2 FLATS OF 1NOS 3BEDROOM FLAT And 1 NOS 2BEDROOM FLAT + Mini Fla,3,3,"Abacha Estate , Ikoyi",
"N150,000,000",Fully Furnished 3 Bedroom Flat For Sale,3,3,"Old, Ikoyi",
,Newly Built 2 Bedroom Apartment,2,3,"Osborne Road, Lagos Island",
"N40,000,000",Block Of 4 Units Of 3 Bedroom Flat,3,3,"Onigemo Street Ifako, Ifako, Gbagada",
"N28,000,000",royal 2 bedrooms apartment with bq,2,2,"Orchid Hotel Road Beside Chevron Toll Gate, Igbo Efon, Lekki",
"N80,000,000",5 Bedroom Penthouse for Sale in Ikate Elegushi,5,5,"Ikate Elegushi, Lekki",
"N50,000,000",3 Bedroom Flat for Sale in Ikate Elegushi,3,3,"Ikate Elegushi, Lekki",
